"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","45966","","","","0"
"1981-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","47038","","","","0"
"1981-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","47977","","","","0"
"1981-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","48996","","","","0"
"1982-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","49352","","","","0"
"1982-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","50455","","","","0"
"1982-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","51468","","","","0"
"1982-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","52411","","","","0"
"1983-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","53765","","","","0"
"1983-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","55054","","","","0"
"1983-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","56779","","","","0"
"1983-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","58055","","","","0"
"1984-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","59325","","","","0"
"1984-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","60323","","","","0"
"1984-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","61029","","","","0"
"1984-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","62518","","","","0"
"1985-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","64016","","","","0"
"1985-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","65412","","","","0"
"1985-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","67258","","","","0"
"1985-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","68403","","","","0"
"1986-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","69579","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","70748","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","72536","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","73405","","","","0"
"1987-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","74953","","","","0"
"1987-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","76827","","","","0"
"1987-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","78069","","","","0"
"1987-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","79696","","","","0"
"1988-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","80887","","","","0"
"1988-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","82904","","","","0"
